Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"AHMA","NY 54","02:35:451","00:48:727","true","false"
02,"BGM","Ultra Gamma","02:42:213","00:50:648","true","false"
03,"IURI","RV Loco","02:43:954","00:52:267","true","false"
04,"BONCZY","Ultima","02:45:207","00:52:676","true","false"
05,"KONDRAKOV67","Harmor","02:47:577","00:54:142","true","false"
06,"GREY","Ultima","02:49:006","00:52:055","true","false"
07,"LOQ","NY 54","02:49:441","00:54:431","true","false"
08,"MATRIX","Vixen","02:49:652","00:48:933","true","false"
09,"RADIANCER","Baja Dash","02:51:402","00:55:050","true","false"
10,"MIKIVOLT","Ultima","02:51:886","00:54:820","true","false"
11,"PRISMIYA","Evil Weasel","02:53:179","00:54:989","true","false"
12,"ALDAMA757","Dr. Grudge","02:53:755","00:55:966","true","false"
13,"ROG_97 MOBILE","Star Carbs","02:55:043","00:55:937","true","false"
Results,"Spa-Volt 1 R",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KILABARUS","Tempest","02:54:758","00:54:985","true","false"
02,"ALDAMA757","Dr. Grudge","03:03:191","01:00:018","true","false"
03,"MATRIX","Vixen","03:05:170","00:55:500","true","false"
04,"RADIANCER","Baja Dash","03:10:640","00:59:370","true","false"
05,"KONDRAKOV67","Harmor","03:11:108","01:00:375","true","false"
06,"BGM","Ultra Gamma","03:16:585","01:01:175","true","false"
07,"IURI","Evil Weasel","03:18:026","01:03:535","true","false"
08,"LOQ","NY 54","03:21:664","01:04:508","true","false"
09,"AHMA","NY 54","03:24:642","01:00:822","true","false"
10,"BONCZY","Ultima","03:32:586","01:04:141","true","false"
11,"GREY","Ultima","03:33:026","01:04:496","true","false"
12,"PRISMIYA","Evil Weasel","03:34:599","01:05:813","true","false"
13,"OWEOWE","Mystery","04:10:459","01:06:053","true","false"
Results,"Spooky-Volt",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BONCZY","Ultima","01:22:959","00:25:920","true","false"
02,"ALDAMA757","Dr. Grudge","01:27:778","00:27:577","true","false"
03,"IURI","Evil Weasel","01:27:956","00:27:833","true","false"
04,"KONDRAKOV67","Harmor","01:29:131","00:27:948","true","false"
05,"RADIANCER","Baja Dash","01:29:626","00:28:880","true","false"
06,"MATRIX","Vixen","01:29:960","00:25:257","true","false"
07,"AHMA","NY 54","01:30:128","00:26:591","true","false"
08,"GREY","LMW","01:30:659","00:25:701","true","false"
09,"LOQ","Splat","01:30:827","00:29:720","true","false"
10,"BGM","Ultra Gamma","01:31:064","00:26:312","true","false"
11,"ERZU","Vixen","01:31:209","00:24:460","true","false"
12,"OWEOWE","Mystery","01:31:711","00:28:800","true","false"
13,"&","Groovster","01:32:533","00:28:701","true","false"
14,"KILABARUS","Tempest","01:35:462","00:25:555","true","false"
15,"PRISMIYA","Evil Weasel","06:51:402","05:00:000","false","false"
Results,"Swan Street",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"IURI","Evil Weasel","02:42:082","00:51:926","true","false"
02,"&","Groovster","02:43:920","00:53:230","true","false"
03,"BGM","Ultra Gamma","02:48:049","00:50:439","true","false"
04,"ERZU","Vixen","02:53:616","00:54:823","true","false"
05,"BONCZY","Ultima","02:54:054","00:51:680","true","false"
06,"MATRIX","Vixen","02:54:416","00:53:306","true","false"
07,"AHMA","NY 54","02:55:647","00:56:200","true","false"
08,"ROG_97 MOBILE","Baja Dash","02:56:836","00:54:616","true","false"
09,"KILABARUS","Tempest","02:57:465","00:55:953","true","false"
10,"ALDAMA757","Dr. Grudge","02:58:319","00:59:012","true","false"
11,"RADIANCER","Baja Dash","02:58:503","00:53:700","true","false"
12,"OWEOWE","Mystery","03:00:278","00:56:851","true","false"
13,"LOQ","Splat","03:00:869","00:57:652","true","false"
14,"KONDRAKOV67","Harmor","03:02:607","00:57:034","true","false"
15,"GREY","LMW","03:06:935","01:00:819","true","false"
16,"PRISMIYA","Evil Weasel","12:42:857","05:00:000","false","false"
Results,"The Bunker",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Ultra Gamma","02:06:205","00:38:220","true","false"
02,"ROG_97 MOBILE","Baja Dash","02:19:861","00:45:473","true","false"
03,"MATRIX","Vixen","02:20:728","00:43:553","true","false"
04,"KILABARUS","Kyarus","02:21:810","00:43:205","true","false"
05,"ALDAMA757","Dr. Grudge","02:22:930","00:44:986","true","false"
06,"RADIANCER","Baja Dash","02:23:687","00:46:465","true","false"
07,"KONDRAKOV67","LMW","02:23:841","00:43:731","true","false"
08,"AHMA","NY 54","02:24:176","00:44:527","true","false"
09,"GREY","Mongoose","02:25:253","00:46:498","true","false"
10,"IURI","Evil Weasel","02:26:807","00:45:397","true","false"
11,"BONCZY","Ultima","02:28:573","00:47:920","true","false"
12,"&","Groovster","02:31:740","00:49:032","true","false"
13,"VARSA","Candy Pebbles","02:32:927","00:50:427","true","false"
14,"OWEOWE","Mystery","02:34:250","00:48:625","true","false"
15,"LOQ","Splat","02:34:348","00:44:579","true","false"
Results,"The Great Silence",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ROG_97 MOBILE","Baja Dash","02:45:850","00:51:824","true","false"
02,"RADIANCER","Baja Dash","02:50:339","00:53:523","true","false"
03,"OWEOWE","Mystery","02:53:839","00:56:490","true","false"
04,"MATRIX","Vixen","02:54:362","00:54:517","true","false"
05,"AHMA","NY 54","02:55:377","00:55:369","true","false"
06,"VARSA","Candy Pebbles","02:56:433","00:53:728","true","false"
